Product, Price
"HP Refurbished Elitebook 8460P - Core I5 - 1TB/8GB RAM - Sliver - 14""","KSh 21,999"
"Lenovo ThinkPad X1 Carbon Refurbished Ultrabook 14"" Intel® Core™ I7 8G","KSh 30,000"
"HP Refurbished EliteBook 8440- Core I5 - 4GB - HDD 500GB - 14""- - Silv","KSh 17,699"
HP Refurbished Notebook 348 G4 Core I5 7th Gen 8GB Ram 1tB HDD,"KSh 27,500"
"HP Refurbished Stream 11 Pro 11.6"" Intel Celeron 4GB RAM 64GB SSD Ultr","KSh 15,450"
"HP EliteBook 840 G3 - 14"" - Intel Core I5 - 8GB RAM - 500GB HDD Refurb","KSh 25,649"
"HP Refurbished EliteBook 840 G4 Core I5 8GB 256GB SSD 14"" Touchscreen ","KSh 31,500"
HP Refurbished EliteBook Revolve 810 G3-Intel Core I5-8GB RAM-256 SSD(,"KSh 22,999"
"Asus X543 - 15.6"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - G","KSh 28,999"
"HP Refurbished EliteBook 840 G4 Core I5 8GB 256GB SSD 14"" Touchscreen ","KSh 31,500"
HP Refurbished EliteBook Revolve 810 G3-Intel Core I5-8GB RAM-256 SSD(,"KSh 22,999"
"Asus X543 - 15.6"" - Intel Celeron - 1TB HDD - 4GB RAM - Windows 10 - G","KSh 28,999"
"Lenovo Refurbished Thinkpad X131e 12"" Intel Celeron 4GB, 320GB - Black","KSh 12,999"
HP Corei5 -8GB Ram-500GB HDD-EliteBook 820 Refurbished -windows 10 Off,"KSh 21,900"
"HP Refurbished EliteBook 8440p Core I5, 8GB Ram, 500GB + Free Wireless","KSh 18,990"
"HP SUPER SLIM Refurbished HP EliteBook Folio 9480m, 14"" Intel Core I7 ","KSh 37,999"
HP REFURBISHED ELITEBOOK *TOUCH SCREEN* 840 G3 6TH GEN CORE I5 4GB 500,"KSh 28,999"
"HP Notebook 15-Intel Celeron-8GB RAM-512GB SSD-Windows 11-15.6""-Black+","KSh 37,999"
"Lenovo Refurbished Thinkpad X130e AMD Ram 4GB, HDD 320GB - 11.6""- Blac","KSh 13,299"
"HP Stream 11 Pro G2 Refurbished - 11.6"" Intel Celeron N3050 4GB RAM 64","KSh 14,900"
"DELL Refurbished Latitude E6420, Core I5, 4GB, 500GB HDD","KSh 15,999"
Lenovo Refurbished Thinkpad Yoga 11e Touch Screen Intel Celeron 4GB RA,"KSh 19,500"
HP Refurbished EliteBook 820 G3-Intel Core I5 6th Gen-8GB RAM-256 SSD-,"KSh 25,999"
"HP Notebook 15-Intel Celeron-4GB RAM-500GB HDD-Windows 10-15.6""-Black+","KSh 37,999"
"Lenovo Refurbished ThinkPad Yoga 11e Intel Celeron, 11.6'' SCREEN, X36","KSh 16,800"
"HP Refurbished Elitebook 820 G1, Core I5, 4GB RAM 1TB HDD -12.5"", Blac","KSh 24,999"
"HP Refurbished EliteBook 840 G2 Core I5 5th Gen 4GB, 500GB HDD","KSh 21,000"
Lenovo Refurbished TP Yoga 11e Touch Screen- Intel Celeron 4GB 500GB 1,"KSh 17,500"
HP Elitebook 840 G2 Refurbished Intel Core I5 -8GB Ram -256GB SSD-5th ,"KSh 23,999"
"Legatus Brand New 14 Inch Screen Laptop 6GB Ram 64GB 10,000 MAh Batter","KSh 26,500"
"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" 8GB RAM 1TB HDD WIND","KSh 26,999"
HP Revolve 810 Refurbished/ Coi5/ 8GB RAM/128/Touchscreen +free Dockin,"KSh 21,499"
HP Complete Desktop CPU Intel Core 2 Duo 2GB RAM 250GB HDD Win 10 Pro-,"KSh 15,499"
"HP Refurbished EliteBook Folio 9470m,Intel Core I5, 4GB Ram, 500GB HDD","KSh 25,299"
"HP Refurbished EliteBook 8460p Core I5, 8GB Ram, 500GB HDD + FREE Wire","KSh 18,899"
"HP REFURBISHED EliteBook X360 1030 G2 13.3"" Intel Core I7 2.6 GHz, 16G","KSh 65,549"
"HP Refurbished EliteBook 8460p, Intel Core I5, 8GB RAM, 500GB HDD, 14'","KSh 18,999"
"Lenovo REFURBISHED THINKPAD EDGE E535 AMD, 4GB RAM,320 GB HDD","KSh 15,500"
"Lenovo Refurbished Thinkpad X1 Carbon - 14"" - Intel Core I5 - 128 GB S","KSh 27,000"
"HP Refurbished EliteBook 8440p Core I5, 4GB Ram, 500GB.","KSh 16,970"
HP Refurbished EliteBook 820 G2 Core I5 5th Gen 2.3GHz 8GB Ram 500GB H,"KSh 21,700"
"HP Refurbished Revolve 810 G3 Core I7 8GB RAM, 256GB SSD, 11.6""- Slive","KSh 29,999"
"HP Refurbished Elitebook 820 12.5"", Slim Intel Core I5 4GB, 500GB","KSh 19,999"
HP Refurbished Elitebook 2560P - Core I5 - 320GB/4GB RAM - Sliver - 12,"KSh 16,499"
"HP Refurbished 3125M 320GB HDD 4GB RAM 11.6"" Black & Silver 12""","KSh 12,200"
"HP Refurbished Elitebook 820, 12.5"", Corei5, 4GB RAM-+ 500 GB HDD - Bl","KSh 19,999"
"DELL Refurbished Latitude 7440, 14.0'', Core I5, 4GB, 500GB Hdd Touchs","KSh 31,450"
HP Refurbished EliteBook 8460P Core I5 4GBRam 500HDD 14' Inches,"KSh 18,499"
HP Refurbished Elitebook X360 1030 G3 Core I5 8GB 512GB SSD 2in1 13.3 ,"KSh 52,000"
HP Refurbished Elitebook X360 1030 G3 Core I5 8GB 512GB SSD 2in1 13.3 ,"KSh 52,000"
"Lenovo REFURBISHED THINKPAD EDGE E535 AMD, 4GB RAM,320 GB HDD","KSh 15,500"
"DELL LATITUDE 7250 Core I7 8gb RAM 256gb SSD 5th Gen Refurbished 12.5""","KSh 26,999"
"HP Refurbished 3125M 320GB HDD 4GB RAM 11.6"" Black & Silver 12""","KSh 12,200"
"HP Refurbished EliteBook 8440p Core I5, 4GB Ram, 500GB.","KSh 16,970"
"HP Refurbished Elitebook 820 12.5"", Slim Intel Core I5 4GB, 500GB","KSh 19,999"
"HP Refurbished Elitebook 840 G3 6th Gen , Core I5, 8GB RAM-SSD 256GB -","KSh 26,399"
